rank,bgg_url,game_id,name,min_players,max_players,avg_time,min_time,max_time,weight,year,age,avg_rating,geek_rating,num_votes,owned,designer
1108,https://boardgamegeek.com/boardgame/309630,309630,Small World of Warcraft,2,5,80,40,80,2.5833,2020,8,7.35557,6.52907,2866,8429,Philippe Keyaerts
1109,https://boardgamegeek.com/boardgame/142326,142326,Eight-Minute Empire: Legends,2,4,32,16,32,1.9797,2013,13,6.93141,6.52884,5103,8037,Ryan Laukat
1110,https://boardgamegeek.com/boardgame/37628,37628,Haggis,2,3,45,45,45,2.1116,2010,13,6.98726,6.52822,4306,6075,Sean Ross (I)
1111,https://boardgamegeek.com/boardgame/287084,287084,Oriflamme,3,5,30,15,30,1.6415,2019,10,7.13328,6.52717,3586,5785,"Adrien Hesling, Axel Hesling"
1112,https://boardgamegeek.com/boardgame/175199,175199,Mottainai,2,5,30,15,30,3.1243,2015,13,7.02429,6.52716,4101,7547,Carl Chudyk
1113,https://boardgamegeek.com/boardgame/24068,24068,Shadow Hunters,4,8,60,60,60,1.8211,2005,10,6.82214,6.5269,8616,9319,Yasutaka Ikeda
1114,https://boardgamegeek.com/boardgame/89409,89409,BattleCON: War of Indines,2,4,60,15,60,2.7586,2010,9,7.65917,6.52584,1908,3740,"D. Brad Talton, Jr."
1115,https://boardgamegeek.com/boardgame/17329,17329,Animal Upon Animal,2,4,15,15,15,1.0405,2005,4,6.79253,6.52594,8189,12979,Klaus Miltenberger
1116,https://boardgamegeek.com/boardgame/229265,229265,Wendake,1,4,120,60,120,3.602,2017,14,7.49091,6.52405,2124,3660,Danilo Sabia
1117,https://boardgamegeek.com/boardgame/276042,276042,Conspiracy: Abyss Universe,2,4,30,30,30,1.7619,2019,8,7.28328,6.52371,2736,4772,"Bruno Cathala, Charles Chevallier"
1118,https://boardgamegeek.com/boardgame/176544,176544,Automania,2,4,90,60,90,2.74,2015,12,7.32035,6.52318,2451,2821,"Kenneth Minde, Kristian Amundsen Østby"
1119,https://boardgamegeek.com/boardgame/551,551,Battle Cry,2,2,45,45,45,2.095,1999,10,7.15119,6.52275,3519,4411,Richard Borg
1120,https://boardgamegeek.com/boardgame/297129,297129,Jekyll vs. Hyde,2,2,30,30,30,1.913,2021,8,7.2925,6.52279,2672,4846,Geonil
1121,https://boardgamegeek.com/boardgame/152162,152162,Diamonds: Second Edition,2,6,30,20,30,1.546,2014,8,6.9005,6.52226,5360,7914,Mike Fitzgerald
1122,https://boardgamegeek.com/boardgame/135382,135382,Shadowrun: Crossfire,1,4,60,30,60,2.8232,2014,13,7.12789,6.52106,3634,5821,"Mike Elliott, Rob Heinsoo, Jim Lin, Gregory Marques, Sean McCarthy, Jay Schneider, Rob Watkins (Board Game) (I)"
1123,https://boardgamegeek.com/boardgame/206051,206051,Insider,4,8,15,15,15,1.129,2016,9,7.0544,6.52106,3778,6702,"ｱｷﾋﾛｲﾄｵ (Akihiro Itoh), Kwaji, Daichi Okano, Kito Shinma"
1124,https://boardgamegeek.com/boardgame/271529,271529,Botanik,2,2,30,30,30,1.8261,2021,12,7.69454,6.51849,1756,3574,"Frank Crittin, Grégoire Largey, Sébastien Pauchon"
1125,https://boardgamegeek.com/boardgame/318983,318983,Faiyum,1,5,140,110,140,3.1146,2020,12,7.53071,6.5185,1959,2933,Friedemann Friese
1126,https://boardgamegeek.com/boardgame/37836,37836,"Julius Caesar: Caesar, Pompey, and the Roman Civil War",2,2,120,120,120,2.4566,2010,12,7.78848,6.51794,1635,2531,"Grant Dalgliesh, Justin Thompson"
1127,https://boardgamegeek.com/boardgame/141423,141423,Dead Men Tell No Tales,2,5,75,60,75,2.5294,2015,13,7.11822,6.51694,3657,7286,Kane Klenko
1128,https://boardgamegeek.com/boardgame/159473,159473,Quartermaster General,2,6,90,90,90,2.2941,2014,12,7.31826,6.51709,2666,2868,Ian Brody
1129,https://boardgamegeek.com/boardgame/145371,145371,Three Kingdoms Redux,3,3,165,135,165,4.0488,2014,14,7.87827,6.51694,1496,2469,"Yeo Keng Leong, Christina Ng Zhen Wei"
1130,https://boardgamegeek.com/boardgame/205597,205597,Jump Drive,2,4,30,10,30,2.019,2017,13,6.98212,6.51625,4381,6203,Thomas Lehmann
1131,https://boardgamegeek.com/boardgame/163642,163642,Chimera Station,2,4,90,60,90,3.1512,2017,13,7.23867,6.51552,2763,4459,Mark Major
1132,https://boardgamegeek.com/boardgame/164265,164265,Witness,4,4,15,15,15,1.5,2014,13,7.25368,6.51496,2655,3933,Dominique Bodin
1133,https://boardgamegeek.com/boardgame/234669,234669,Legacy of Dragonholt,1,6,999,60,999,1.2308,2017,14,7.23002,6.51474,3035,6950,"Nikki Valens, Daniel Clark (I), Tim Flanders, Annie VanderMeer Mitsoda, Greg Spyridis"
1134,https://boardgamegeek.com/boardgame/71671,71671,Yggdrasil,1,6,90,90,90,2.6,2011,13,7.03553,6.51458,3944,4221,"Cédric Lefebvre, Fabrice Rabellino"
1135,https://boardgamegeek.com/boardgame/241590,241590,Smart10,2,8,120,20,120,1.2041,2017,10,7.5112,6.51459,2041,4071,"Christoph Reiser, Arno Steinwender"
1136,https://boardgamegeek.com/boardgame/327,327,Loopin' Louie,2,4,10,10,10,1.0523,1992,4,6.75068,6.51424,9184,11732,"Masaru Aoki, Carol Wiseley"
1137,https://boardgamegeek.com/boardgame/67492,67492,Battles of Westeros,2,2,120,60,120,3.2193,2010,12,7.25198,6.51443,2977,5422,Robert A. Kouba
1138,https://boardgamegeek.com/boardgame/206931,206931,Encore!,1,6,20,20,20,1.1477,2016,8,6.9677,6.51426,4641,9049,"Inka Brand, Markus Brand"
1139,https://boardgamegeek.com/boardgame/5737,5737,Domaine,2,4,60,60,60,2.7167,2003,12,6.98218,6.51381,4441,5313,Klaus Teuber
1140,https://boardgamegeek.com/boardgame/183571,183571,Deep Space D-6,1,1,30,30,30,1.6792,2015,10,7.18114,6.51407,3391,7155,Tony Go
1141,https://boardgamegeek.com/boardgame/346501,346501,Mille Fiori,2,4,90,60,90,2.1944,2021,10,7.42753,6.51464,2199,3909,Reiner Knizia
1142,https://boardgamegeek.com/boardgame/207336,207336,Honshū,2,5,30,30,30,1.9368,2016,8,6.92531,6.51154,4941,8053,Kalle Malmioja
1143,https://boardgamegeek.com/boardgame/273477,273477,Obscurio,2,8,40,40,40,1.8814,2019,10,7.14691,6.5107,3359,7430,L'Atelier
1144,https://boardgamegeek.com/boardgame/271869,271869,Sushi Roll,2,5,20,20,20,1.2414,2019,8,7.05069,6.51059,3755,8067,Phil Walker-Harding
1145,https://boardgamegeek.com/boardgame/251412,251412,On Tour,1,8,20,20,20,1.4595,2019,7,6.96625,6.5099,4585,7571,Chad DeShon
1146,https://boardgamegeek.com/boardgame/216092,216092,Unlock!: Escape Adventures – Squeek & Sausage,1,6,75,45,75,2.1176,2017,10,7.16585,6.50933,2951,4295,Vincent Goyat
1147,https://boardgamegeek.com/boardgame/278,278,Catan Card Game,2,2,120,60,120,2.4406,1996,10,6.70538,6.50909,13824,24223,Klaus Teuber
1148,https://boardgamegeek.com/boardgame/1634,1634,Warhammer Quest,1,4,120,120,120,2.6882,1995,12,7.48894,6.50782,2512,3320,Andy Jones
1149,https://boardgamegeek.com/boardgame/244049,244049,Forum Trajanum,2,4,120,60,120,3.4685,2018,12,7.23495,6.50746,2758,5083,Stefan Feld
1150,https://boardgamegeek.com/boardgame/91080,91080,Andean Abyss,1,4,360,360,360,3.7921,2012,12,7.61145,6.50724,1879,3581,Volko Ruhnke
1151,https://boardgamegeek.com/boardgame/156091,156091,Sons of Anarchy: Men of Mayhem,3,4,90,90,90,2.5701,2014,13,7.25233,6.50595,2877,5936,"Aaron Dill, John Kovaleski, Sean Sweigart"
1152,https://boardgamegeek.com/boardgame/94246,94246,1812: The Invasion of Canada,2,5,90,90,90,2.185,2012,10,7.33884,6.50602,2354,3012,"Beau Beckett, Jeph Stahl"
1153,https://boardgamegeek.com/boardgame/183880,183880,Risk: Star Wars Edition,2,4,45,30,45,1.8521,2015,10,7.0056,6.50569,4139,9613,"James D'Aloisio, Austin Rucker, Craig Van Ness"
1154,https://boardgamegeek.com/boardgame/104020,104020,Vanuatu,2,5,90,90,90,3.303,2011,12,7.22098,6.50556,2729,2399,Alain Epron
